"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College/Univ","ValuePerYear"
"1",1,18,"IND","Ryan Kelly","C",23,2020,26,56,2016,5.8,76,33.625,311,9.625,5.03,26,NA,103,7.58,6,2,3,NA,3,4,3,NA,"Alabama",6.5
"2",1,31,"SEA","Germain Ifedi","G",22,2020,28,65,2016,5.89,78,36,324,10.75,5.27,24,NA,109,NA,2,10,12,NA,4,NA,9,NA,"Texas A&M",7
"3",2,50,"HOU","Nick Martin","G",23,2020,19,51,2016,5.66,76,32.5,299,9.75,5.22,28,NA,97,7.57,13,8,7,NA,13,5,8,NA,"Notre Dame",4.75
"4",2,56,"CHI","Cody Whitehair","G",24,2020,25,69,2016,6.43,76,32.375,301,10.125,5.08,16,NA,110,7.32,9,2,17,NA,2,1,3,NA,"Kansas St.",6.25
"5",3,78,"NWE","Joe Thuney","G",23,2020,36,68,2016,5.08,77,32.25,304,9.625,4.95,28,NA,110,7.47,15,1,7,NA,2,3,2,NA,"North Carolina St.",9
"6",3,95,"DET","Graham Glasgow","C",24,2020,25,66,2016,5.5,78,33.625,307,10.75,5.13,23,NA,106,7.63,1,3,6,NA,2,5,4,NA,"Michigan",6.25
"7",5,144,"DEN","Connor McGovern","G",23,2020,14,52,2016,5.37,76,32.875,306,10.375,5.11,33,NA,109,7.5,6,3,2,NA,4,4,5,NA,"Missouri",3.5
"8",5,168,"CLE","Spencer Drango","G",23,2017,8,32,2016,5.2,78,33.75,315,9.5,5.27,30,NA,100,7.88,18,10,3,NA,9,10,6,NA,"Baylor",2
"9",6,215,"SEA","Joey Hunt","C",22,2019,7,34,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU",1.75
"10",7,224,"SDG","Donavon Clark","G",23,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michigan St.",NA
"11",7,234,"OAK","Vadal Alexander","G",22,2017,4,24,2016,5.42,77,35.25,326,10.5,5.57,25,NA,95,8.04,3,16,11,NA,16,12,12,NA,"LSU",1
"12",2,58,"SEA","Ethan Pocic","C",22,2020,8,35,2017,5.7,78,33.125,310,10.125,5.15,26,27,107,7.89,NA,NA,NA,NA,NA,NA,NA,NA,"LSU",2.66666666666667
"13",2,63,"BUF","Dion Dawkins","G",23,2020,19,53,2017,5.71,76,35,314,9.875,5.11,26,26,106,7.3,NA,NA,NA,NA,NA,NA,NA,NA,"Temple",6.33333333333333
"14",3,70,"MIN","Pat Elflein","C",23,2020,21,44,2017,5.85,75,33.25,303,9.75,5.32,22,23.5,99,7.94,NA,NA,NA,NA,NA,NA,NA,NA,"Ohio St.",7
"15",3,71,"LAC","Dan Feeney","G",23,2020,20,52,2017,5.79,76,33.375,305,10.25,5.24,26,28,101,7.52,NA,NA,NA,NA,NA,NA,NA,NA,"Indiana",6.66666666666667
"16",4,115,"ARI","Dorian Johnson","G",22,NA,NA,NA,2017,5.83,77,35.25,300,10.875,5.27,21,30,114,8.39,NA,NA,NA,NA,NA,NA,NA,NA,"Pittsburgh",NA
"17",5,147,"CHI","Jordan Morgan","G",23,NA,NA,NA,2017,5.39,75,34.625,309,10,5.36,21,27,102,8.13,NA,NA,NA,NA,NA,NA,NA,NA,"Kutztown (PA)",NA
"18",5,159,"BAL","Jermaine Eluemunor","G",22,2020,3,30,2017,5.46,76,33.25,332,9.5,5.22,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas A&M",1
"19",5,180,"MIN","Danny Isidora","G",23,2019,4,24,2017,5.3,75,33,306,9.875,5.03,26,29,94,8.13,NA,NA,NA,NA,NA,NA,NA,NA,"Miami (FL)",1.33333333333333
"20",6,199,"WAS","Chase Roullier","C",24,2020,14,48,2017,5.42,76,32.25,312,9.5,5.54,19,26.5,97,7.6,NA,NA,NA,NA,NA,NA,NA,NA,"Wyoming",4.66666666666667
"21",7,243,"HOU","Kyle Fuller","C",23,2018,1,11,2017,5.31,77,34.125,307,10.25,5.24,23,26,96,7.71,NA,NA,NA,NA,NA,NA,NA,NA,"Baylor",0.333333333333333
"22",1,20,"DET","Frank Ragnow","C",22,2020,13,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arkansas",6.5
"23",2,37,"IND","Braden Smith","G",22,2020,14,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn",7
"24",4,111,"LAR","Brian Allen","C",22,2019,5,22,2018,4.92,75,34,215,10,4.48,15,34.5,117,6.64,NA,NA,NA,NA,NA,NA,NA,NA,"Michigan St.",2.5
"25",5,138,"GNB","Cole Madison","G",23,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington St.",NA
"26",5,155,"LAC","Scott Quessenberry","C",23,2020,6,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCLA",3
"27",5,166,"BUF","Wyatt Teller","G",23,2020,6,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Virginia Tech",3
"28",6,215,"BAL","Bradley Bozeman","C",23,2020,11,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama",5.5
"29",7,245,"NOR","Will Clapp","C",22,2020,3,19,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LSU",1.5
"30",7,252,"CIN","Rod Taylor","G",23,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi",NA
